Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
653,Matt Read\readma01,32,MIN,RW,5,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,6,0.0,56,11:12,3,4,1,0,100.0
654,Ryan Reaves\reavery01,32,VEG,RW,59,8,8,16,3,60,1.7,5,3,0,1,8,0,0,75,10.7,653,11:04,20,218,39,52,42.9
655,Mike Reilly\reillmi01,25,MTL,D,52,3,7,10,-1,16,2.7,2,1,0,1,7,0,0,90,3.3,972,18:41,48,42,0,0,
656,Sam Reinhart\reinhsa01,23,BUF,C,58,14,37,51,2,12,4.9,13,1,0,0,26,11,0,126,11.1,1084,18:42,35,22,22,40,35.5
657,Sheldon Rempal\rempash01,23,LAK,RW,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,61,8:44,1,0,0,0,
658,Anthony Richard\richaan01,22,NSH,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,7,7:22,1,0,0,0,
659,Brad Richardson\richabr02,33,ARI,C,42,11,5,16,-4,18,2.1,8,0,3,2,4,0,1,77,14.3,657,15:39,40,33,362,297,54.9
660,Tobias Rieder\riedeto01,26,EDM,C,44,0,10,10,-6,6,0.1,0,0,0,0,8,2,0,63,0.0,560,12:43,30,47,3,13,18.8
661,Morgan Rielly\riellmo01,24,TOR,D,58,15,42,57,24,4,10.6,14,1,0,5,27,15,0,152,9.9,1319,22:44,75,40,0,1,0.0
662,Juuso Riikola\riikoju01,25,PIT,D,34,2,2,4,1,10,1.2,0,2,0,1,2,0,0,39,5.1,576,16:56,36,80,0,0,
663,Zac Rinaldo\rinalza01,28,NSH,C,23,1,2,3,1,20,0.2,1,0,0,1,2,0,0,11,9.1,164,7:07,8,47,1,4,20.0
664,Rasmus Ristolainen\ristora01,24,BUF,D,58,5,31,36,-21,24,4.6,4,1,0,2,20,11,0,145,3.4,1450,25:00,90,170,0,0,
665,Brett Ritchie\ritchbr01,25,DAL,RW,35,4,2,6,-1,44,0.6,3,1,0,2,2,0,0,36,11.1,349,9:58,11,87,1,3,25.0
666,Nick Ritchie\ritchni01,23,ANA,LW,43,8,17,25,2,50,2.5,6,2,0,2,13,4,0,62,12.9,656,15:16,27,89,3,5,37.5
667,Eric Robinson\robiner01,23,CBJ,LW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,52,12:59,0,5,0,0,
668,Jack Rodewald\rodewja01,24,OTT,RW,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0.0,42,7:04,3,8,0,0,
669,Evan Rodrigues\rodriev01,25,BUF,C,52,8,13,21,-6,18,1.5,6,2,0,1,9,2,2,120,6.7,796,15:19,24,20,202,198,50.5
670,Kevin Rooney\rooneke01,25,NJD,C,20,2,1,3,-6,13,0.0,2,0,0,1,1,0,0,14,14.3,213,10:38,8,40,66,76,46.5
671,Jack Roslovic\rosloja01,22,WPG,C,58,7,10,17,-4,4,1.5,2,5,0,0,9,1,0,50,14.0,572,9:51,19,22,86,107,44.6
672,Antoine Roussel\roussan01,29,VAN,LW,55,7,18,25,3,112,2.4,7,0,0,1,18,0,0,70,10.0,763,13:52,43,74,16,16,50.0
673,Carter Rowney\rowneca01,29,ANA,RW,39,3,9,12,-4,8,0.8,3,0,0,0,9,0,0,33,9.1,464,11:54,18,100,148,147,50.2
674,Mathieu Roy\royma01,35,LAK,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,12,11:32,,0,,,
675,Nicolas Roy\royni01,21,CAR,C,6,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,42,6:57,1,7,21,18,53.8
676,Chad Ruhwedel\ruhwech01,28,PIT,D,14,0,0,0,-9,2,-0.5,0,0,0,0,0,0,0,17,0.0,222,15:52,14,36,0,0,
677,Kris Russell\russekr01,31,EDM,D,48,2,8,10,-1,14,2.8,2,0,0,0,8,0,0,41,4.9,983,20:29,125,58,0,0,
678,Patrick Russell\russepa01,26,EDM,RW,6,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,6,0.0,53,8:47,2,9,0,0,
679,Bryan Rust\rustbr01,26,PIT,RW,58,16,14,30,10,18,3.5,14,0,2,4,13,0,1,120,13.3,908,15:39,42,97,5,13,27.8
